ts,phase,participant_id,worker_id,group,assign_index,is_test,counter_n
1787308514856,calib,curltest-mt2tc8s9-dup-b,w-curltest-mt2tc8s9-dup-b,acal,9,TRUE,19
1787308515938,calib,curltest-mt2tc8s9-trials,w-curltest-mt2tc8s9-trials,aprime,9,TRUE,20
1787359500904,calib,curltest-mt3np27e-dup-b,w-curltest-mt3np27e-dup-b,acal,9,TRUE,19
1787359501681,calib,curltest-mt3np27e-trials,w-curltest-mt3np27e-trials,aprime,9,TRUE,20
1787317594251,calib,anon-eiq54sm9,,acal,10,FALSE,21
1787381154011,calib,maruyama-pilot1,maruyama-pilot1,acal,10,TRUE,21
1787381728966,calib,sensei-pilot1,sensei-pilot1,aprime,10,TRUE,22
1787381734776,calib,kurihara-pilot1,kurihara-pilot1,acal,11,TRUE,23
1787381745185,calib,kurihara-pilot2,kurihara-pilot2,aprime,11,TRUE,24
1787497329398,calib,anon-m6jwup1a,,acal,12,TRUE,25
1787497395644,calib,anon-dk2z8bmw,,aprime,12,TRUE,26
1787497635703,calib,anon-jlm6uuyn,,acal,13,TRUE,27
1787497644779,calib,anon-1xtiznsz,,aprime,13,TRUE,28
1787497645925,calib,anon-8bqiwb7m,,acal,14,TRUE,29
1787497646837,calib,anon-s8fiv0yt,,aprime,14,TRUE,30
1787497647757,calib,anon-wsa8fmeq,,acal,15,TRUE,31
1787308515116,comfort,curltest-mt2tc8s9-dup-c,w-curltest-mt2tc8s9-dup-c,c,0,TRUE,1
1787359501103,comfort,curltest-mt3np27e-dup-c,w-curltest-mt3np27e-dup-c,c,0,TRUE,1
1787308515730,comfort,curltest-mt2tc8s9-comfort-after,w-curltest-mt2tc8s9-comfort-after,c,1,TRUE,2
1787359501584,comfort,curltest-mt3np27e-comfort-after,w-curltest-mt3np27e-comfort-after,c,1,TRUE,2
1787308514358,test,curltest-mt2tc8s9-race-20,w-curltest-mt2tc8s9-race-20,atest,0,TRUE,1
1787308514368,test,curltest-mt2tc8s9-race-11,w-curltest-mt2tc8s9-race-11,b,0,TRUE,2
1787359500453,test,curltest-mt3np27e-race-1,w-curltest-mt3np27e-race-1,atest,0,TRUE,1
1787359500457,test,curltest-mt3np27e-race-20,w-curltest-mt3np27e-race-20,b,0,TRUE,2
1787308514378,test,curltest-mt2tc8s9-race-14,w-curltest-mt2tc8s9-race-14,atest,1,TRUE,3
1787308514387,test,curltest-mt2tc8s9-race-16,w-curltest-mt2tc8s9-race-16,b,1,TRUE,4
1787359500462,test,curltest-mt3np27e-race-18,w-curltest-mt3np27e-race-18,atest,1,TRUE,3
1787359500469,test,curltest-mt3np27e-race-5,w-curltest-mt3np27e-race-5,b,1,TRUE,4
1787308514400,test,curltest-mt2tc8s9-race-18,w-curltest-mt2tc8s9-race-18,atest,2,TRUE,5
1787308514412,test,curltest-mt2tc8s9-race-3,w-curltest-mt2tc8s9-race-3,b,2,TRUE,6
1787359500475,test,curltest-mt3np27e-race-15,w-curltest-mt3np27e-race-15,atest,2,TRUE,5
1787359500485,test,curltest-mt3np27e-race-19,w-curltest-mt3np27e-race-19,b,2,TRUE,6
1787308514423,test,curltest-mt2tc8s9-race-21,w-curltest-mt2tc8s9-race-21,atest,3,TRUE,7
1787308514427,test,curltest-mt2tc8s9-race-10,w-curltest-mt2tc8s9-race-10,b,3,TRUE,8
1787359500492,test,curltest-mt3np27e-race-14,w-curltest-mt3np27e-race-14,atest,3,TRUE,7
1787359500499,test,curltest-mt3np27e-race-10,w-curltest-mt3np27e-race-10,b,3,TRUE,8
1787308514446,test,curltest-mt2tc8s9-race-8,w-curltest-mt2tc8s9-race-8,atest,4,TRUE,9
1787308514448,test,curltest-mt2tc8s9-race-13,w-curltest-mt2tc8s9-race-13,b,4,TRUE,10
1787359500507,test,curltest-mt3np27e-race-6,w-curltest-mt3np27e-race-6,atest,4,TRUE,9
1787359500512,test,curltest-mt3np27e-race-11,w-curltest-mt3np27e-race-11,b,4,TRUE,10
1787308514460,test,curltest-mt2tc8s9-race-12,w-curltest-mt2tc8s9-race-12,atest,5,TRUE,11
1787308514466,test,curltest-mt2tc8s9-race-9,w-curltest-mt2tc8s9-race-9,b,5,TRUE,12
1787359500527,test,curltest-mt3np27e-race-12,w-curltest-mt3np27e-race-12,atest,5,TRUE,11
1787359500531,test,curltest-mt3np27e-race-4,w-curltest-mt3np27e-race-4,b,5,TRUE,12
1787308514474,test,curltest-mt2tc8s9-race-15,w-curltest-mt2tc8s9-race-15,atest,6,TRUE,13
1787308514485,test,curltest-mt2tc8s9-race-5,w-curltest-mt2tc8s9-race-5,b,6,TRUE,14
1787359500539,test,curltest-mt3np27e-race-21,w-curltest-mt3np27e-race-21,atest,6,TRUE,13
1787359500545,test,curltest-mt3np27e-race-13,w-curltest-mt3np27e-race-13,b,6,TRUE,14
1787308514492,test,curltest-mt2tc8s9-race-1,w-curltest-mt2tc8s9-race-1,atest,7,TRUE,15
1787308514500,test,curltest-mt2tc8s9-race-17,w-curltest-mt2tc8s9-race-17,b,7,TRUE,16
1787359500558,test,curltest-mt3np27e-race-2,w-curltest-mt3np27e-race-2,atest,7,TRUE,15
1787359500563,test,curltest-mt3np27e-race-23,w-curltest-mt3np27e-race-23,b,7,TRUE,16
1787308514531,test,curltest-mt2tc8s9-race-23,w-curltest-mt2tc8s9-race-23,atest,8,TRUE,17
1787308514532,test,curltest-mt2tc8s9-race-7,w-curltest-mt2tc8s9-race-7,b,8,TRUE,18
1787359500579,test,curltest-mt3np27e-race-8,w-curltest-mt3np27e-race-8,atest,8,TRUE,17
1787359500586,test,curltest-mt3np27e-race-9,w-curltest-mt3np27e-race-9,b,8,TRUE,18
1787308514534,test,curltest-mt2tc8s9-race-19,w-curltest-mt2tc8s9-race-19,atest,9,TRUE,19
1787308514548,test,curltest-mt2tc8s9-race-0,w-curltest-mt2tc8s9-race-0,b,9,TRUE,20
1787359500595,test,curltest-mt3np27e-race-22,w-curltest-mt3np27e-race-22,atest,9,TRUE,19
1787359500603,test,curltest-mt3np27e-race-17,w-curltest-mt3np27e-race-17,b,9,TRUE,20
1787308514554,test,curltest-mt2tc8s9-race-4,w-curltest-mt2tc8s9-race-4,atest,10,TRUE,21
1787308514562,test,curltest-mt2tc8s9-race-6,w-curltest-mt2tc8s9-race-6,b,10,TRUE,22
1787359500614,test,curltest-mt3np27e-race-0,w-curltest-mt3np27e-race-0,atest,10,TRUE,21
1787359500622,test,curltest-mt3np27e-race-16,w-curltest-mt3np27e-race-16,b,10,TRUE,22
1787308514571,test,curltest-mt2tc8s9-race-2,w-curltest-mt2tc8s9-race-2,atest,11,TRUE,23
1787308514575,test,curltest-mt2tc8s9-race-22,w-curltest-mt2tc8s9-race-22,b,11,TRUE,24
1787359500628,test,curltest-mt3np27e-race-7,w-curltest-mt3np27e-race-7,atest,11,TRUE,23
1787359500632,test,curltest-mt3np27e-race-3,w-curltest-mt3np27e-race-3,b,11,TRUE,24
1787308515423,test,curltest-mt2tc8s9-dup-d,w-curltest-mt2tc8s9-dup-d,atest,12,TRUE,25
1787359501331,test,curltest-mt3np27e-dup-d,w-curltest-mt3np27e-dup-d,atest,12,TRUE,25
